Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"7,620",,"21,428","163,832,920","7,660","7,660","7,620","3,300,702","3,300,702"
29/05/2024,"7,660",,"36,986","282,009,160","7,660","7,680","7,600","3,318,029","3,318,029"
28/05/2024,"7,660",,"36,015","275,524,460","7,640","7,680","7,620","3,318,029","3,318,029"
27/05/2024,"7,640",,"30,536","233,537,660","7,640","7,700","7,620","3,309,365","3,309,365"
24/05/2024,"7,620",,"44,684","339,653,920","7,600","7,620","7,580","3,300,702","3,300,702"
23/05/2024,"7,580",,"91,945","694,774,420","7,520","7,600","7,500","3,283,376","3,283,376"
21/05/2024,"7,540",,"108,162","823,701,220","7,760","7,760","7,540","3,266,049","3,266,049"
20/05/2024,"7,760",,"52,866","409,088,400","7,760","7,780","7,700","3,361,345","3,361,345"
17/05/2024,"7,780",,"55,587","432,094,340","7,760","7,800","7,740","3,370,008","3,370,008"
16/05/2024,"7,800",,"36,857","286,595,600","7,800","7,800","7,740","3,378,672","3,378,672"
15/05/2024,"7,800",,"91,832","715,736,240","7,760","7,820","7,760","3,378,672","3,378,672"
13/05/2024,"7,740",,"40,010","309,874,600","7,720","7,800","7,720","3,352,682","3,352,682"
10/05/2024,"7,720",,"94,134","722,237,120","7,680","7,780","7,640","3,344,019","3,344,019"
09/05/2024,"7,680",,"237,562","1,840,072,040","7,640","7,940","7,620","3,326,692","3,326,692"
08/05/2024,"7,560",,"87,818","655,378,660","7,400","7,580","7,400","3,274,712","3,274,712"
07/05/2024,"7,420",,"74,447","548,629,460","7,300","7,420","7,300","3,214,070","3,214,070"
06/05/2024,"7,420",,"105,975","786,751,040","7,500","7,500","7,320","3,214,070","3,214,070"
03/05/2024,"7,600",,"173,480","1,316,897,480","7,620","7,620","7,560","3,292,039","3,292,039"
02/05/2024,"7,620",,"302,282","2,292,919,500","7,600","7,620","7,460","3,300,702","3,300,702"
30/04/2024,"7,600",,"98,593","750,818,980","7,600","7,680","7,580","3,292,039","3,292,039"
29/04/2024,"7,560",,"114,077","854,285,420","7,400","7,560","7,400","3,274,712","3,274,712"
26/04/2024,"7,440",,"464,283","3,443,289,720","7,740","7,800","7,180","3,222,733","3,222,733"
25/04/2024,"7,960",,"111,552","904,396,680","8,300","8,400","7,960","3,447,978","3,447,978"
24/04/2024,"8,280",,"57,406","475,369,020","8,200","8,460","8,200","3,586,590","3,586,590"
23/04/2024,"8,200",,"40,743","335,059,300","8,200","8,260","8,180","3,551,937","3,551,937"
22/04/2024,"8,200",,"37,886","310,676,940","8,280","8,300","8,100","3,551,937","3,551,937"
19/04/2024,"8,300",,"128,822","1,068,859,900","8,500","8,500","8,120","3,595,253","3,595,253"
18/04/2024,"8,520",,"94,187","806,010,400","8,620","8,640","8,500","3,690,549","3,690,549"
17/04/2024,"8,640",,"44,968","388,973,080","8,680","8,700","8,600","3,742,528","3,742,528"
12/04/2024,"8,700",,"18,045","157,329,140","8,780","8,780","8,700","3,768,518","3,768,518"
11/04/2024,"8,720",,"48,216","419,190,000","8,700","8,800","8,660","3,777,182","3,777,182"
10/04/2024,"8,700",,"46,867","410,209,420","8,800","8,820","8,700","3,768,518","3,768,518"
09/04/2024,"8,800",,"60,344","534,647,780","8,900","8,980","8,780","3,811,835","3,811,835"
08/04/2024,"8,860",,"106,783","934,835,360","8,740","8,900","8,640","3,837,824","3,837,824"
05/04/2024,"8,700",,"276,820","2,472,669,700","9,000","9,280","8,660","3,768,518","3,768,518"
04/04/2024,"9,580",,"26,062","249,711,580","9,600","9,620","9,560","4,149,702","4,149,702"
03/04/2024,"9,600",,"27,735","266,384,880","9,600","9,620","9,580","4,158,365","4,158,365"
02/04/2024,"9,600",,"30,102","288,858,720","9,600","9,620","9,580","4,158,365","4,158,365"
01/04/2024,"9,620",,"51,378","493,408,200","9,640","9,660","9,580","4,167,028","4,167,028"
29/03/2024,"9,660",,"16,585","160,085,780","9,620","9,680","9,620","4,184,355","4,184,355"
28/03/2024,"9,660",,"18,361","176,828,440","9,640","9,680","9,600","4,184,355","4,184,355"
27/03/2024,"9,640",,"31,456","302,905,800","9,640","9,660","9,620","4,175,692","4,175,692"
26/03/2024,"9,660",,"29,995","290,550,840","9,720","9,800","9,660","4,184,355","4,184,355"
25/03/2024,"9,720",,"24,668","240,782,780","9,800","9,800","9,720","4,210,345","4,210,345"
22/03/2024,"9,800",,"85,711","842,803,720","9,800","10,000","9,720","4,244,998","4,244,998"
21/03/2024,"9,680",,"5,912","57,317,900","9,700","9,760","9,680","4,193,018","4,193,018"
20/03/2024,"9,680",,"14,740","142,255,740","9,600","9,780","9,600","4,193,018","4,193,018"
19/03/2024,"9,600",,"17,583","168,901,220","9,600","9,640","9,600","4,158,365","4,158,365"
18/03/2024,"9,640",,"12,408","119,378,240","9,600","9,660","9,600","4,175,692","4,175,692"
15/03/2024,"9,600",,"14,180","136,418,460","9,620","9,660","9,600","4,158,365","4,158,365"
14/03/2024,"9,620",,"6,236","60,023,400","9,620","9,660","9,600","4,167,028","4,167,028"
13/03/2024,"9,620",,"31,590","303,764,860","9,660","9,680","9,500","4,167,028","4,167,028"
12/03/2024,"9,660",,"28,480","275,532,520","9,680","9,700","9,660","4,184,355","4,184,355"
11/03/2024,"9,700",,"18,334","177,838,200","9,720","9,740","9,680","4,201,681","4,201,681"
07/03/2024,"9,720",,"30,514","296,244,600","9,720","9,720","9,700","4,210,345","4,210,345"
06/03/2024,"9,720",,"19,176","186,193,240","9,720","9,740","9,700","4,210,345","4,210,345"
05/03/2024,"9,740",,"36,915","359,069,240","9,760","9,780","9,700","4,219,008","4,219,008"
04/03/2024,"9,780",,"25,673","251,012,780","9,800","9,820","9,760","4,236,334","4,236,334"
01/03/2024,"9,820",,"11,215","110,194,980","9,820","9,840","9,820","4,253,661","4,253,661"
29/02/2024,"9,820",,"13,416","131,876,980","9,820","9,860","9,800","4,253,661","4,253,661"
28/02/2024,"9,820",,"22,064","217,791,500","9,900","9,900","9,800","4,253,661","4,253,661"
27/02/2024,"9,800",,"20,892","204,853,660","9,780","9,900","9,780","4,244,998","4,244,998"
26/02/2024,"9,780",,"17,960","175,459,300","9,780","9,780","9,760","4,236,334","4,236,334"
23/02/2024,"9,780",,"15,002","146,808,840","9,780","9,800","9,760","4,236,334","4,236,334"
22/02/2024,"9,800",,"36,462","356,177,560","9,800","9,820","9,720","4,244,998","4,244,998"
21/02/2024,"9,820",,"28,197","277,379,320","9,880","9,880","9,820","4,253,661","4,253,661"
20/02/2024,"9,880",,"29,091","287,701,320","9,900","9,920","9,880","4,279,651","4,279,651"
19/02/2024,"9,920",,"44,002","436,849,320","9,960","9,960","9,900","4,296,977","4,296,977"
16/02/2024,"9,960",,"33,844","336,462,480","9,960","9,960","9,940","4,314,304","4,314,304"
15/02/2024,"9,960",,"19,894","197,873,940","9,960","9,960","9,940","4,314,304","4,314,304"
14/02/2024,"9,960",,"37,609","374,020,620","9,960","9,960","9,940","4,314,304","4,314,304"
13/02/2024,"9,960",,"63,645","634,010,160","9,980","9,980","9,940","4,314,304","4,314,304"
12/02/2024,"10,000",,"36,421","363,416,380","9,980","10,000","9,960","4,331,630","4,331,630"
09/02/2024,"10,000",,"16,712","166,780,640","9,980","10,000","9,960","4,331,630","4,331,630"
08/02/2024,"9,980",,"16,287","162,302,880","9,960","9,980","9,960","4,322,967","4,322,967"
07/02/2024,"9,960",,"23,130","224,614,820","10,000","10,000","9,960","4,314,304","4,314,304"
06/02/2024,"10,000",,"22,343","222,820,300","9,980","10,000","9,960","4,331,630","4,331,630"
05/02/2024,"10,000",,"26,197","261,396,340","9,980","10,000","9,960","4,331,630","4,331,630"
02/02/2024,"10,000",,"24,180","241,333,360","9,980","10,000","9,980","4,331,630","4,331,630"
01/02/2024,"10,000",,"12,823","128,024,280","9,980","10,000","9,960","4,331,630","4,331,630"
31/01/2024,"10,000",,"23,262","232,315,320","9,980","10,000","9,960","4,331,630","4,331,630"
30/01/2024,"9,980",,"8,145","81,384,900","10,000","10,000","9,980","4,322,967","4,322,967"
29/01/2024,"10,020",,"33,436","334,076,920","10,000","10,020","9,980","4,340,293","4,340,293"
26/01/2024,"10,020",,"20,054","200,535,980","10,000","10,020","9,980","4,340,293","4,340,293"
25/01/2024,"10,020",,"16,562","165,782,580","10,020","10,020","9,980","4,340,293","4,340,293"
24/01/2024,"10,020",,"67,716","677,524,040","10,000","10,040","9,980","4,340,293","4,340,293"
23/01/2024,"10,000",,"47,056","469,658,080","9,960","10,000","9,960","4,331,630","4,331,630"
22/01/2024,"10,000",,"34,473","343,924,820","9,980","10,000","9,960","4,331,630","4,331,630"
19/01/2024,"10,000",,"43,857","438,227,060","10,000","10,000","9,960","4,331,630","4,331,630"
18/01/2024,"10,000",,"21,825","217,726,980","9,980","10,000","9,960","4,331,630","4,331,630"
17/01/2024,"10,000",,"8,148","81,379,360","10,000","10,000","9,980","4,331,630","4,331,630"
16/01/2024,"10,000",,"22,267","222,391,120","10,000","10,020","9,980","4,331,630","4,331,630"
15/01/2024,"10,000",,"15,299","152,966,940","10,000","10,020","9,980","4,331,630","4,331,630"
12/01/2024,"10,000",,"11,552","115,519,220","10,020","10,020","9,980","4,331,630","4,331,630"
11/01/2024,"10,000",,"14,746","147,472,520","10,000","10,020","9,980","4,331,630","4,331,630"
10/01/2024,"10,000",,"10,556","105,519,160","9,980","10,000","9,980","4,331,630","4,331,630"
09/01/2024,"10,000",,"15,832","158,245,120","10,000","10,020","9,980","4,331,630","4,331,630"
