Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"2,430",,"7,834","18,988,000","2,420","2,450","2,420","4,761,029","4,761,029"
29/05/2024,"2,430",,"17,454","42,461,740","2,440","2,440","2,430","4,761,029","4,761,029"
28/05/2024,"2,440",,"22,977","55,897,260","2,440","2,440","2,420","4,780,622","4,780,622"
27/05/2024,"2,440",,"4,879","11,865,560","2,440","2,450","2,420","4,780,622","4,780,622"
24/05/2024,"2,420",,"11,468","27,701,120","2,420","2,420","2,400","4,741,436","4,741,436"
23/05/2024,"2,420",,"2,048","4,940,210","2,420","2,430","2,400","4,741,436","4,741,436"
21/05/2024,"2,420",,"33,730","80,937,820","2,430","2,430","2,390","4,741,436","4,741,436"
20/05/2024,"2,410",,"19,617","47,337,240","2,430","2,440","2,410","4,721,844","4,721,844"
17/05/2024,"2,430",,"23,088","55,876,000","2,410","2,470","2,400","4,761,029","4,761,029"
16/05/2024,"2,410",,"2,916","6,993,070","2,400","2,410","2,390","4,721,844","4,721,844"
15/05/2024,"2,400",,"9,016","21,519,040","2,410","2,410","2,380","4,702,251","4,702,251"
13/05/2024,"2,410",,"16,023","38,403,870","2,400","2,410","2,380","4,721,844","4,721,844"
10/05/2024,"2,400",,"6,657","15,927,280","2,400","2,420","2,380","4,702,251","4,702,251"
09/05/2024,"2,400",,"8,983","21,501,520","2,400","2,420","2,390","4,702,251","4,702,251"
08/05/2024,"2,410",,"20,916","50,029,040","2,380","2,430","2,380","4,721,844","4,721,844"
07/05/2024,"2,380",,"2,441","5,815,090","2,390","2,390","2,380","4,663,065","4,663,065"
06/05/2024,"2,390",,"33,092","78,656,480","2,380","2,390","2,360","4,682,658","4,682,658"
03/05/2024,"2,380",,"16,715","39,712,370","2,390","2,390","2,370","4,663,065","4,663,065"
02/05/2024,"2,380",,"26,484","62,969,850","2,370","2,390","2,370","4,663,065","4,663,065"
30/04/2024,"2,380",,"23,892","56,668,160","2,390","2,390","2,360","4,663,065","4,663,065"
29/04/2024,"2,370",,"170,528","401,714,950","2,420","2,450","2,330","4,643,473","4,643,473"
26/04/2024,"2,430",,"74,682","176,999,020","2,490","2,490","2,330","4,761,029","4,761,029"
25/04/2024,"2,470",,"11,962","29,341,230","2,450","2,470","2,430","4,839,400","4,839,400"
24/04/2024,"2,450",,"17,789","42,874,270","2,430","2,450","2,400","4,800,214","4,800,214"
23/04/2024,"2,420",,"6,766","16,373,040","2,440","2,460","2,400","4,741,436","4,741,436"
22/04/2024,"2,440",,"23,823","57,767,000","2,420","2,460","2,400","4,780,622","4,780,622"
19/04/2024,"2,450",,"6,344","15,497,880","2,470","2,470","2,420","4,800,214","4,800,214"
18/04/2024,"2,480",,"2,917","7,183,200","2,480","2,480","2,450","4,858,993","4,858,993"
17/04/2024,"2,480",,"2,770","6,864,750","2,490","2,490","2,450","4,858,993","4,858,993"
12/04/2024,"2,490",,792,"1,977,320","2,460","2,490","2,460","4,878,585","4,878,585"
11/04/2024,"2,490",,"2,317","5,737,310","2,500","2,500","2,460","4,878,585","4,878,585"
10/04/2024,"2,490",,"5,593","13,814,110","2,500","2,500","2,440","4,878,585","4,878,585"
09/04/2024,"2,500",,"2,320","5,797,710","2,490","2,510","2,490","4,898,178","4,898,178"
08/04/2024,"2,490",,"8,048","20,013,390","2,480","2,500","2,460","4,878,585","4,878,585"
05/04/2024,"2,480",,"18,581","45,937,040","2,500","2,520","2,440","4,858,993","4,858,993"
04/04/2024,"2,510",,"9,177","22,983,730","2,530","2,530","2,500","4,917,771","4,917,771"
03/04/2024,"2,520",,"5,149","12,939,620","2,520","2,540","2,510","4,937,363","4,937,363"
02/04/2024,"2,520",,"6,418","16,147,230","2,510","2,540","2,510","4,937,363","4,937,363"
01/04/2024,"2,540",,"4,208","10,675,640","2,550","2,570","2,510","4,976,549","4,976,549"
29/03/2024,"2,550",,"51,396","130,267,540","2,570","2,570","2,530","4,996,142","4,996,142"
28/03/2024,"2,560",,"7,839","19,998,290","2,570","2,570","2,540","5,015,734","5,015,734"
27/03/2024,"2,560",,"8,769","22,366,740","2,560","2,570","2,540","5,015,734","5,015,734"
