Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"2,200",,"16,719","36,547,620","2,200","2,210","2,180","14,215","40,615"
29/05/2024,"2,190",,"6,563","14,317,900","2,190","2,190","2,180","14,151","40,431"
28/05/2024,"2,190",,"9,709","21,172,950","2,180","2,190","2,180","14,151","40,431"
27/05/2024,"2,190",,"2,424","5,291,070","2,190","2,190","2,180","14,151","40,431"
24/05/2024,"2,180",,"3,874","8,410,620","2,180","2,180","2,170","14,086","40,246"
23/05/2024,"2,180",,"1,891","4,114,680","2,190","2,190","2,170","14,086","40,246"
21/05/2024,"2,190",,"4,153","9,025,260","2,200","2,200","2,170","14,151","40,431"
20/05/2024,"2,200",,"1,496","3,280,100","2,200","2,200","2,180","14,215","40,615"
17/05/2024,"2,200",,"22,183","48,427,840","2,180","2,210","2,160","14,215","40,615"
16/05/2024,"2,180",,"4,451","9,661,820","2,170","2,180","2,160","14,086","40,246"
15/05/2024,"2,170",,"9,584","20,730,810","2,170","2,180","2,160","14,022","40,062"
13/05/2024,"2,170",,"9,841","21,295,970","2,180","2,180","2,160","14,022","40,062"
10/05/2024,"2,180",,34,"74,120","2,180","2,180","2,180","14,086","40,246"
09/05/2024,"2,180",,"11,105","23,878,160","2,180","2,190","2,140","14,086","40,246"
08/05/2024,"2,190",,"24,504","53,283,210","2,170","2,190","2,160","14,151","40,431"
07/05/2024,"2,150",,879,"1,886,700","2,150","2,150","2,130","13,892","39,692"
06/05/2024,"2,130",,"5,619","11,964,930","2,170","2,170","2,120","13,763","39,323"
03/05/2024,"2,150",,"11,135","23,720,320","2,110","2,200","2,100","13,892","39,692"
02/05/2024,"2,100",,"3,560","7,437,830","2,120","2,120","2,080","13,569","38,769"
30/04/2024,"2,090",,"4,157","8,574,800","2,050","2,090","2,050","13,505","38,585"
29/04/2024,"2,080",,"1,104","2,290,910","2,090","2,090","2,060","13,440","38,400"
26/04/2024,"2,080",,"3,086","6,339,050","2,040","2,110","2,040","13,440","38,400"
25/04/2024,"2,120",,203,"427,010","2,100","2,120","2,100","13,698","39,138"
24/04/2024,"2,110",,"1,484","3,104,820","2,070","2,110","2,070","13,634","38,954"
23/04/2024,"2,100",,143,"299,150","2,100","2,100","2,090","13,569","38,769"
22/04/2024,"2,090",,"1,107","2,293,790","2,110","2,110","2,070","13,505","38,585"
19/04/2024,"2,100",,"4,757","9,861,810","2,080","2,110","2,070","13,569","38,769"
18/04/2024,"2,100",,"4,163","8,675,750","2,120","2,120","2,080","13,569","38,769"
17/04/2024,"2,120",,919,"1,912,860","2,130","2,130","2,070","13,698","39,138"
12/04/2024,"2,130",,103,"219,390","2,130","2,130","2,130","13,763","39,323"
11/04/2024,"2,130",,476,"1,002,520","2,120","2,130","2,090","13,763","39,323"
10/04/2024,"2,120",,"1,471","3,124,230","2,120","2,130","2,100","13,698","39,138"
09/04/2024,"2,090",,847,"1,795,340","2,140","2,140","2,090","13,505","38,585"
08/04/2024,"2,130",,"2,788","5,867,590","2,040","2,150","2,040","13,763","39,323"
05/04/2024,"2,080",,"10,682","22,142,220","2,080","2,100","2,050","13,440","38,400"
04/04/2024,"2,110",,652,"1,380,140","2,120","2,120","2,100","13,634","38,954"
03/04/2024,"2,120",,531,"1,117,330","2,120","2,120","2,090","13,698","39,138"
02/04/2024,"2,110",,"1,035","2,171,280","2,100","2,110","2,090","13,634","38,954"
01/04/2024,"2,100",,859,"1,791,370","2,090","2,100","2,080","13,569","38,769"
29/03/2024,"2,090",,"1,017","2,128,780","2,110","2,110","2,090","13,505","38,585"
28/03/2024,"2,110",,136,"285,670","2,100","2,110","2,100","13,634","38,954"
27/03/2024,"2,100",,"2,314","4,855,830","2,110","2,110","2,090","13,569","38,769"
26/03/2024,"2,110",,639,"1,346,900","2,100","2,110","2,100","13,634","38,954"
25/03/2024,"2,090",,"6,015","12,613,780","2,100","2,110","2,090","13,505","38,585"
22/03/2024,"2,120",,195,"411,520","2,100","2,120","2,100","13,698","39,138"
21/03/2024,"2,140",,"1,188","2,543,590","2,130","2,150","2,120","13,828","39,508"
20/03/2024,"2,130",,872,"1,835,480","2,100","2,130","2,100","13,763","39,323"
19/03/2024,"2,130",,364,"769,570","2,120","2,130","2,100","13,763","39,323"
18/03/2024,"2,120",,406,"856,720","2,090","2,120","2,090","13,698","39,138"
15/03/2024,"2,090",,"4,406","9,257,030","2,120","2,130","2,090","13,505","38,585"
14/03/2024,"2,130",,"1,588","3,370,970","2,110","2,130","2,100","13,763","39,323"
13/03/2024,"2,110",,481,"1,016,620","2,110","2,140","2,110","13,634","38,954"
12/03/2024,"2,120",,771,"1,647,650","2,140","2,140","2,120","13,698","39,138"
11/03/2024,"2,110",,614,"1,318,010","2,150","2,150","2,110","13,634","38,954"
07/03/2024,"2,130",,"1,244","2,649,290","2,150","2,160","2,120","13,763","39,323"
06/03/2024,"2,160",,42,"90,640","2,160","2,160","2,140","13,957","39,877"
05/03/2024,"2,140",,52,"111,420","2,160","2,160","2,130","13,828","39,508"
04/03/2024,"2,160",,"1,735","3,729,280","2,170","2,170","2,140","13,957","39,877"
01/03/2024,"2,150",,"1,139","2,448,070","2,130","2,160","2,130","13,892","39,692"
29/02/2024,"2,150",,"2,397","5,143,090","2,160","2,160","2,140","13,892","39,692"
28/02/2024,"2,160",,847,"1,812,270","2,160","2,160","2,130","13,957","39,877"
27/02/2024,"2,160",,"1,618","3,464,010","2,130","2,160","2,130","13,957","39,877"
26/02/2024,"2,160",,262,"561,570","2,170","2,170","2,140","13,957","39,877"
23/02/2024,"2,160",,"2,352","5,055,820","2,140","2,160","2,140","13,957","39,877"
22/02/2024,"2,140",,563,"1,205,890","2,170","2,170","2,130","13,828","39,508"
21/02/2024,"2,170",,"1,771","3,787,890","2,160","2,170","2,130","14,022","40,062"
20/02/2024,"2,160",,"2,062","4,432,060","2,180","2,180","2,130","13,957","39,877"
19/02/2024,"2,180",,49,"106,170","2,180","2,180","2,160","14,086","40,246"
16/02/2024,"2,170",,388,"817,960","2,170","2,170","2,170","14,022","40,062"
15/02/2024,"2,170",,"6,126","13,128,600","2,180","2,180","2,130","14,022","40,062"
