Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"2,380",,"8,458","19,886,340","2,380","2,380","2,330","95,200","95,200"
29/05/2024,"2,370",,"7,905","18,529,040","2,300","2,400","2,300","94,800","94,800"
28/05/2024,"2,300",,884,"2,032,940","2,300","2,320","2,290","92,000","92,000"
27/05/2024,"2,300",,377,"866,130","2,290","2,300","2,290","92,000","92,000"
24/05/2024,"2,290",,"2,977","6,793,190","2,290","2,290","2,270","91,600","91,600"
23/05/2024,"2,290",,234,"536,010","2,280","2,290","2,260","91,600","91,600"
21/05/2024,"2,280",,973,"2,219,220","2,290","2,300","2,280","91,200","91,200"
20/05/2024,"2,300",,"2,659","6,074,750","2,280","2,300","2,270","92,000","92,000"
17/05/2024,"2,290",,"13,303","30,016,790","2,250","2,300","2,250","91,600","91,600"
16/05/2024,"2,270",,"1,220","2,732,650","2,280","2,280","2,200","90,800","90,800"
15/05/2024,"2,280",,"21,164","47,636,520","2,250","2,320","2,250","91,200","91,200"
13/05/2024,"2,330",,174,"404,370","2,330","2,330","2,320","93,200","93,200"
10/05/2024,"2,330",,158,"367,360","2,340","2,340","2,320","93,200","93,200"
09/05/2024,"2,340",,"2,042","4,689,370","2,340","2,340","2,290","93,600","93,600"
08/05/2024,"2,350",,630,"1,474,400","2,350","2,350","2,330","94,000","94,000"
07/05/2024,"2,350",,170,"399,330","2,350","2,350","2,340","94,000","94,000"
06/05/2024,"2,350",,"4,376","10,202,030","2,320","2,350","2,310","94,000","94,000"
03/05/2024,"2,320",,"7,131","16,323,190","2,260","2,320","2,260","92,800","92,800"
02/05/2024,"2,260",,"1,462","3,291,660","2,250","2,260","2,240","90,400","90,400"
30/04/2024,"2,250",,"2,151","4,678,380","2,150","2,250","2,150","90,000","90,000"
29/04/2024,"2,250",,"2,386","5,362,390","2,270","2,300","2,220","90,000","90,000"
26/04/2024,"2,180",,"1,251","2,824,470","2,300","2,300","2,130","87,200","87,200"
25/04/2024,"2,280",,"1,204","2,732,840","2,250","2,290","2,250","91,200","91,200"
24/04/2024,"2,250",,"7,558","17,030,690","2,310","2,310","2,250","90,000","90,000"
23/04/2024,"2,310",,531,"1,221,350","2,300","2,310","2,300","92,400","92,400"
22/04/2024,"2,300",,458,"1,053,460","2,320","2,320","2,260","92,000","92,000"
19/04/2024,"2,330",,717,"1,653,340","2,340","2,340","2,300","93,200","93,200"
18/04/2024,"2,350",,"1,094","2,523,120","2,360","2,360","2,300","94,000","94,000"
17/04/2024,"2,360",,247,"580,730","2,360","2,360","2,340","94,400","94,400"
12/04/2024,"2,360",,98,"219,210","2,350","2,360","2,310","94,400","94,400"
11/04/2024,"2,350",,"1,928","4,530,800","2,350","2,350","2,350","94,000","94,000"
10/04/2024,"2,350",,"6,376","14,913,910","2,320","2,350","2,300","94,000","94,000"
09/04/2024,"2,320",,"2,152","4,991,780","2,320","2,320","2,310","92,800","92,800"
08/04/2024,"2,320",,"3,422","7,889,350","2,310","2,320","2,150","92,800","92,800"
05/04/2024,"2,310",,"35,032","81,863,350","2,510","2,510","2,310","92,400","92,400"
04/04/2024,"2,560",,"4,426","11,449,100","2,600","2,600","2,550","102,400","102,400"
03/04/2024,"2,650",,"1,969","5,190,750","2,640","2,650","2,560","106,000","106,000"
02/04/2024,"2,710",,343,"927,610","2,700","2,710","2,670","108,400","108,400"
01/04/2024,"2,720",,3,"8,160","2,720","2,720","2,720","108,800","108,800"
29/03/2024,"2,720",,"1,267","3,391,310","2,740","2,760","2,500","108,800","108,800"
28/03/2024,"2,770",,55,"151,400","2,770","2,770","2,720","110,800","110,800"
27/03/2024,"2,770",,56,"152,560","2,720","2,770","2,720","110,800","110,800"
26/03/2024,"2,770",,498,"1,361,070","2,780","2,780","2,730","110,800","110,800"
25/03/2024,"2,790",,36,"100,040","2,770","2,790","2,770","111,600","111,600"
22/03/2024,"2,780",,25,"69,340","2,770","2,780","2,770","111,200","111,200"
21/03/2024,"2,780",,433,"1,195,100","2,760","2,780","2,760","111,200","111,200"
20/03/2024,"2,760",,276,"747,910","2,700","2,760","2,700","110,400","110,400"
19/03/2024,"2,760",,144,"396,670","2,750","2,770","2,750","110,400","110,400"
18/03/2024,"2,780",,47,"130,280","2,770","2,780","2,770","111,200","111,200"
15/03/2024,"2,780",,11,"30,530","2,780","2,790","2,750","111,200","111,200"
