Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"4,300",,900,"3,788,700","4,200","4,300","4,100","110,553","110,553"
29/05/2024,"4,200",,341,"1,390,780","4,300","4,300","4,000","107,982","107,982"
28/05/2024,"4,300",,13,"55,900","4,300","4,300","4,300","110,553","110,553"
27/05/2024,"4,320",,"2,188","8,763,840","3,970","4,320","3,830","111,067","111,067"
24/05/2024,"3,970",,124,"485,230","3,970","3,970","3,900","102,069","102,069"
23/05/2024,"3,970",,944,"3,746,460","3,990","3,990","3,950","102,069","102,069"
21/05/2024,"3,990",,315,"1,236,470","3,980","3,990","3,840","102,583","102,583"
20/05/2024,"3,990",,647,"2,560,690","3,970","3,990","3,950","102,583","102,583"
17/05/2024,"3,970",,231,"914,350","3,990","3,990","3,930","102,069","102,069"
16/05/2024,"3,990",,"1,005","3,978,890","3,960","3,990","3,720","102,583","102,583"
15/05/2024,"3,970",,250,"986,110","3,990","3,990","3,800","102,069","102,069"
13/05/2024,"3,990",,"1,113","4,412,770","3,970","3,990","3,900","102,583","102,583"
10/05/2024,"3,980",,894,"3,497,520","3,830","3,980","3,800","102,326","102,326"
09/05/2024,"3,980",,"1,542","5,875,470","3,950","3,980","3,580","102,326","102,326"
08/05/2024,"3,950",,614,"2,418,520","3,970","3,970","3,820","101,554","101,554"
07/05/2024,"3,970",,763,"2,993,660","3,890","3,970","3,880","102,069","102,069"
06/05/2024,"3,890",,588,"2,267,510","3,690","3,890","3,680","100,012","100,012"
03/05/2024,"3,880",,"5,258","19,172,820","3,970","3,970","3,590","99,755","99,755"
02/05/2024,"3,980",,737,"2,849,300","4,000","4,000","3,700","102,326","102,326"
30/04/2024,"3,750",,244,"902,420","3,690","3,750","3,490","96,412","96,412"
29/04/2024,"3,680",,170,"623,330","3,700","3,700","3,600","94,613","94,613"
26/04/2024,"3,700",,256,"950,110","3,710","3,730","3,690","95,127","95,127"
25/04/2024,"3,730",,146,"539,050","3,670","3,750","3,510","95,898","95,898"
24/04/2024,"3,680",,36,"132,870","3,690","3,730","3,680","94,613","94,613"
23/04/2024,"3,690",,16,"59,550","3,670","3,760","3,670","94,870","94,870"
22/04/2024,"3,670",,145,"530,390","3,500","3,740","3,500","94,356","94,356"
19/04/2024,"3,750",,448,"1,676,170","3,760","3,760","3,500","96,412","96,412"
18/04/2024,"3,850",,5,"19,280","3,860","3,860","3,850","98,984","98,984"
17/04/2024,"3,860",,5,"19,320","3,880","3,880","3,860","99,241","99,241"
12/04/2024,"3,770",,6,"22,640","3,780","3,780","3,770","96,927","96,927"
11/04/2024,"3,720",,206,"768,070","3,730","3,850","3,720","95,641","95,641"
10/04/2024,"3,730",,125,"480,070","3,850","3,850","3,730","95,898","95,898"
09/04/2024,"3,820",,200,"765,360","3,650","3,850","3,650","98,212","98,212"
08/04/2024,"3,890",,5,"19,540","3,940","3,940","3,890","100,012","100,012"
05/04/2024,"3,780",,90,"342,130","3,930","3,930","3,580","97,184","97,184"
04/04/2024,"3,930",,2,"7,860","3,930","3,930","3,930","101,040","101,040"
03/04/2024,"3,950",,10,"38,920","3,810","3,950","3,810","101,554","101,554"
02/04/2024,"3,950",,5,"19,420","3,720","3,970","3,720","101,554","101,554"
01/04/2024,"3,920",,89,"347,980","3,960","3,960","3,810","100,783","100,783"
29/03/2024,"3,960",,10,"39,600","3,960","3,960","3,960","101,812","101,812"
28/03/2024,"3,970",,3,"11,910","3,970","3,970","3,970","102,069","102,069"
27/03/2024,"3,940",,74,"293,220","3,960","3,980","3,940","101,297","101,297"
26/03/2024,"3,970",,6,"23,570","3,820","4,000","3,820","102,069","102,069"
25/03/2024,"3,820",,97,"371,970","4,000","4,000","3,750","98,212","98,212"
22/03/2024,"4,000",,29,"115,710","3,980","4,000","3,860","102,840","102,840"
21/03/2024,"3,980",,63,"250,270","3,970","3,980","3,650","102,326","102,326"
20/03/2024,"3,980",,11,"43,350","3,810","4,020","3,810","102,326","102,326"
19/03/2024,"3,810",,266,"1,038,160","3,970","3,970","3,810","97,955","97,955"
18/03/2024,"3,970",,11,"42,080","3,690","3,980","3,690","102,069","102,069"
15/03/2024,"3,960",,6,"23,520","3,850","3,960","3,850","101,812","101,812"
14/03/2024,"4,000",,100,"395,130","4,000","4,000","3,830","102,840","102,840"
