Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"2,040",,"32,323","65,704,230","2,040","2,040","2,030","661,081","661,081"
29/05/2024,"2,040",,"68,163","138,544,930","2,030","2,040","2,030","661,081","661,081"
28/05/2024,"2,040",,"50,306","102,380,320","2,040","2,040","2,020","661,081","661,081"
27/05/2024,"2,040",,"37,997","77,601,670","2,050","2,050","2,040","661,081","661,081"
24/05/2024,"2,050",,"11,066","22,614,370","2,050","2,050","2,040","664,322","664,322"
23/05/2024,"2,050",,"17,134","34,967,960","2,050","2,050","2,030","664,322","664,322"
21/05/2024,"2,050",,"15,951","32,541,620","2,040","2,050","2,030","664,322","664,322"
20/05/2024,"2,040",,"26,605","54,387,350","2,050","2,050","2,040","661,081","661,081"
17/05/2024,"2,050",,"50,220","102,723,750","2,060","2,060","2,040","664,322","664,322"
16/05/2024,"2,060",,"9,197","18,908,270","2,050","2,070","2,040","667,563","667,563"
15/05/2024,"2,070",,"34,870","71,607,570","2,070","2,070","2,040","670,803","670,803"
13/05/2024,"2,070",,"53,728","111,014,610","2,070","2,080","2,050","670,803","670,803"
10/05/2024,"2,210",,"113,919","250,030,670","2,170","2,210","2,170","716,172","716,172"
09/05/2024,"2,180",,"78,663","171,968,160","2,190","2,200","2,180","706,450","706,450"
08/05/2024,"2,170",,"89,055","193,616,340","2,160","2,200","2,160","703,209","703,209"
07/05/2024,"2,160",,"63,468","137,442,360","2,190","2,190","2,160","699,969","699,969"
06/05/2024,"2,190",,"52,352","114,548,920","2,230","2,230","2,160","709,690","709,690"
03/05/2024,"2,220",,"133,081","295,164,220","2,230","2,230","2,210","719,412","719,412"
02/05/2024,"2,230",,"161,349","360,526,550","2,240","2,260","2,210","722,653","722,653"
30/04/2024,"2,200",,"204,276","440,612,000","2,130","2,200","2,110","712,931","712,931"
29/04/2024,"2,090",,"6,622","13,737,350","2,080","2,090","2,070","677,284","677,284"
26/04/2024,"2,080",,"35,179","72,301,930","2,090","2,100","2,040","674,044","674,044"
25/04/2024,"2,090",,"1,885","3,941,040","2,090","2,100","2,090","677,284","677,284"
24/04/2024,"2,090",,"6,067","12,623,690","2,080","2,090","2,080","677,284","677,284"
23/04/2024,"2,090",,"1,945","4,038,620","2,090","2,090","2,070","677,284","677,284"
22/04/2024,"2,080",,"6,456","13,355,780","2,080","2,080","2,060","674,044","674,044"
19/04/2024,"2,080",,"10,724","22,164,640","2,080","2,090","2,050","674,044","674,044"
18/04/2024,"2,090",,"6,338","13,200,040","2,090","2,090","2,080","677,284","677,284"
17/04/2024,"2,090",,"6,750","13,992,790","2,070","2,100","2,060","677,284","677,284"
12/04/2024,"2,070",,"3,796","7,856,720","2,070","2,070","2,060","670,803","670,803"
11/04/2024,"2,070",,"11,990","24,604,030","2,070","2,070","2,050","670,803","670,803"
10/04/2024,"2,060",,"5,678","11,691,640","2,070","2,070","2,050","667,563","667,563"
09/04/2024,"2,070",,"39,154","80,278,510","2,060","2,070","2,040","670,803","670,803"
08/04/2024,"2,070",,"10,298","21,168,120","2,060","2,070","2,050","670,803","670,803"
05/04/2024,"2,060",,"14,034","28,567,210","2,060","2,070","2,000","667,563","667,563"
04/04/2024,"2,070",,"7,671","15,774,840","2,070","2,070","2,050","670,803","670,803"
03/04/2024,"2,070",,"18,270","37,611,350","2,060","2,080","2,050","670,803","670,803"
02/04/2024,"2,060",,"6,706","13,867,300","2,070","2,080","2,060","667,563","667,563"
01/04/2024,"2,070",,"12,670","26,155,440","2,070","2,080","2,050","670,803","670,803"
29/03/2024,"2,070",,"4,116","8,491,490","2,080","2,080","2,060","670,803","670,803"
28/03/2024,"2,080",,"4,030","8,347,280","2,070","2,080","2,070","674,044","674,044"
27/03/2024,"2,070",,"5,821","12,055,690","2,080","2,080","2,060","670,803","670,803"
26/03/2024,"2,080",,"19,835","41,025,030","2,080","2,080","2,060","674,044","674,044"
25/03/2024,"2,090",,"42,502","88,109,570","2,080","2,090","2,060","677,284","677,284"
22/03/2024,"2,090",,"8,553","17,771,810","2,070","2,090","2,070","677,284","677,284"
21/03/2024,"2,080",,"10,018","20,825,420","2,080","2,090","2,070","674,044","674,044"
20/03/2024,"2,080",,"6,197","12,858,530","2,080","2,090","2,070","674,044","674,044"
19/03/2024,"2,090",,"4,637","9,661,990","2,080","2,090","2,080","677,284","677,284"
18/03/2024,"2,090",,"3,961","8,251,150","2,080","2,090","2,080","677,284","677,284"
15/03/2024,"2,080",,"3,527","7,330,620","2,080","2,080","2,070","674,044","674,044"
14/03/2024,"2,080",,"10,110","20,952,260","2,080","2,080","2,070","674,044","674,044"
13/03/2024,"2,080",,"6,982","14,527,770","2,090","2,090","2,070","674,044","674,044"
12/03/2024,"2,090",,"10,168","21,153,520","2,080","2,090","2,070","677,284","677,284"
11/03/2024,"2,080",,"3,046","6,338,770","2,090","2,090","2,080","674,044","674,044"
07/03/2024,"2,090",,"6,196","12,880,000","2,070","2,090","2,070","677,284","677,284"
06/03/2024,"2,080",,"10,199","21,155,080","2,090","2,090","2,070","674,044","674,044"
05/03/2024,"2,080",,"11,972","24,902,650","2,090","2,090","2,070","674,044","674,044"
04/03/2024,"2,090",,"9,511","19,823,790","2,100","2,100","2,080","677,284","677,284"
01/03/2024,"2,080",,"11,542","24,122,930","2,080","2,100","2,080","674,044","674,044"
29/02/2024,"2,090",,"5,972","12,480,800","2,100","2,100","2,080","677,284","677,284"
28/02/2024,"2,100",,"18,346","38,165,080","2,080","2,100","2,070","680,525","680,525"
27/02/2024,"2,090",,"15,553","32,377,680","2,100","2,100","2,070","677,284","677,284"
26/02/2024,"2,100",,"9,736","20,286,760","2,100","2,100","2,080","680,525","680,525"
23/02/2024,"2,110",,"2,036","4,289,350","2,110","2,110","2,100","683,766","683,766"
22/02/2024,"2,110",,"13,956","29,069,600","2,080","2,110","2,080","683,766","683,766"
21/02/2024,"2,120",,"14,810","30,990,690","2,090","2,120","2,080","687,006","687,006"
20/02/2024,"2,090",,"7,651","15,940,750","2,090","2,100","2,080","677,284","677,284"
19/02/2024,"2,090",,"2,957","6,210,790","2,110","2,110","2,090","677,284","677,284"
16/02/2024,"2,110",,"4,858","10,174,730","2,100","2,110","2,080","683,766","683,766"
15/02/2024,"2,100",,"14,543","30,279,180","2,100","2,100","2,080","680,525","680,525"
