Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"12,500",,285,"3,564,660","12,520","12,520","12,480","1,072,150","5,628,785"
29/05/2024,"12,500",,373,"4,667,620","12,420","12,520","12,420","1,072,150","5,628,785"
28/05/2024,"12,420",,463,"5,798,480","12,520","12,540","12,420","1,065,288","5,592,761"
27/05/2024,"12,540",,478,"6,091,660","12,500","13,180","12,400","1,075,580","5,646,797"
24/05/2024,"12,500",,70,"873,620","12,480","12,500","12,480","1,072,150","5,628,785"
23/05/2024,"12,460",,15,"186,080","12,400","12,480","12,220","1,068,719","5,610,773"
21/05/2024,"12,400",,129,"1,604,440","12,560","12,560","12,380","1,063,572","5,583,755"
20/05/2024,"12,480",,416,"5,144,020","12,500","12,600","12,280","1,070,434","5,619,779"
17/05/2024,"12,460",,122,"1,511,960","12,460","12,460","12,340","1,068,719","5,610,773"
16/05/2024,"12,440",,92,"1,144,320","12,280","12,440","12,280","1,067,003","5,601,767"
15/05/2024,"12,440",,37,"460,960","12,460","12,460","12,440","1,067,003","5,601,767"
13/05/2024,"12,460",,222,"2,752,860","12,400","12,460","12,400","1,068,719","5,610,773"
10/05/2024,"12,400",,929,"11,383,660","12,460","12,460","12,200","1,063,572","5,583,755"
09/05/2024,"12,460",,129,"1,582,140","12,300","12,460","12,240","1,068,719","5,610,773"
08/05/2024,"12,300",,170,"2,090,380","12,380","12,380","12,280","1,054,995","5,538,725"
07/05/2024,"12,360",,16,"197,460","12,400","12,400","12,300","1,060,142","5,565,743"
06/05/2024,"12,400",,54,"668,400","12,400","12,400","12,360","1,063,572","5,583,755"
03/05/2024,"12,420",,7,"86,940","12,420","12,420","12,420","1,065,288","5,592,761"
02/05/2024,"12,400",,441,"5,469,580","12,420","12,460","12,280","1,063,572","5,583,755"
30/04/2024,"12,420",,174,"2,158,380","12,420","12,420","12,400","1,065,288","5,592,761"
29/04/2024,"12,440",,77,"957,580","12,440","12,440","12,140","1,067,003","5,601,767"
26/04/2024,"12,460",,"2,668","33,419,480","12,480","12,480","12,120","1,068,719","5,610,773"
25/04/2024,"12,480",,"2,943","36,385,700","12,460","12,480","12,220","1,070,434","5,619,779"
24/04/2024,"12,460",,329,"4,102,260","12,480","12,480","12,440","1,068,719","5,610,773"
23/04/2024,"12,340",,408,"5,031,460","12,200","12,340","12,200","1,058,426","5,556,737"
22/04/2024,"12,300",,204,"2,509,200","12,300","12,300","12,300","1,054,995","5,538,725"
19/04/2024,"12,300",,308,"3,739,280","12,140","12,300","12,140","1,054,995","5,538,725"
18/04/2024,"12,140",,278,"3,382,300","12,280","12,280","12,120","1,041,272","5,466,676"
17/04/2024,"12,280",,"1,399","17,186,340","12,320","12,320","12,120","1,053,280","5,529,719"
12/04/2024,"12,220",,281,"3,438,320","12,220","12,260","12,220","1,048,133","5,502,701"
11/04/2024,"12,260",,59,"725,500","12,340","12,340","12,260","1,051,564","5,520,713"
10/04/2024,"12,260",,298,"3,653,280","12,340","12,340","12,120","1,051,564","5,520,713"
09/04/2024,"12,340",,362,"4,462,440","12,340","12,360","12,300","1,058,426","5,556,737"
08/04/2024,"12,340",,812,"9,959,140","12,200","12,340","12,060","1,058,426","5,556,737"
05/04/2024,"12,340",,"1,409","17,298,440","12,360","12,360","12,200","1,058,426","5,556,737"
04/04/2024,"12,360",,277,"3,405,760","12,360","12,380","12,240","1,060,142","5,565,743"
03/04/2024,"12,360",,420,"5,183,620","12,320","12,380","12,200","1,060,142","5,565,743"
02/04/2024,"12,320",,350,"4,264,840","12,120","12,320","12,120","1,056,711","5,547,731"
01/04/2024,"12,360",,882,"10,699,420","12,380","12,380","12,040","1,060,142","5,565,743"
29/03/2024,"12,380",,252,"3,121,720","12,400","12,400","12,380","1,061,857","5,574,749"
28/03/2024,"12,300",,11,"135,300","12,300","12,300","12,300","1,054,995","5,538,725"
27/03/2024,"12,300",,75,"929,900","12,400","12,400","12,300","1,054,995","5,538,725"
26/03/2024,"12,420",,"6,605","80,809,880","12,280","12,480","12,200","1,065,288","5,592,761"
25/03/2024,"12,460",,137,"1,705,800","12,420","12,480","12,400","1,068,719","5,610,773"
22/03/2024,"12,480",,122,"1,524,680","12,500","12,500","12,480","1,070,434","5,619,779"
21/03/2024,"12,500",,702,"8,780,180","12,500","12,520","12,500","1,072,150","5,628,785"
20/03/2024,"12,480",,364,"4,498,500","12,240","12,520","12,240","1,070,434","5,619,779"
19/03/2024,"12,520",,266,"3,289,940","12,520","12,520","12,200","1,073,865","5,637,791"
18/03/2024,"12,520",,44,"550,880","12,520","12,520","12,520","1,073,865","5,637,791"
15/03/2024,"12,520",,230,"2,864,020","12,520","12,520","12,420","1,073,865","5,637,791"
14/03/2024,"12,520",,184,"2,278,820","12,500","12,520","12,340","1,073,865","5,637,791"
13/03/2024,"12,500",,110,"1,376,480","12,520","12,520","12,500","1,072,150","5,628,785"
12/03/2024,"12,520",,387,"4,839,040","12,520","12,520","12,500","1,073,865","5,637,791"
11/03/2024,"12,500",,"1,071","13,390,060","12,540","12,540","12,500","1,072,150","5,628,785"
07/03/2024,"12,540",,"3,528","44,106,880","12,580","12,580","12,500","1,075,580","5,646,797"
06/03/2024,"12,540",,"3,012","37,659,260","12,500","12,620","12,500","1,075,580","5,646,797"
05/03/2024,"12,500",,342,"4,286,320","12,500","12,540","12,500","1,072,150","5,628,785"
04/03/2024,"12,580",,"3,977","49,712,760","12,500","12,580","12,500","1,079,011","5,664,810"
01/03/2024,"12,500",,267,"3,340,980","12,520","12,580","12,500","1,072,150","5,628,785"
29/02/2024,"12,560",,910,"11,381,600","12,500","12,580","12,500","1,077,296","5,655,804"
28/02/2024,"12,580",,98,"1,234,560","12,600","12,600","12,580","1,079,011","5,664,810"
27/02/2024,"12,540",,"1,116","13,849,380","12,460","12,540","12,400","1,075,580","5,646,797"
26/02/2024,"12,540",,301,"3,760,840","12,460","12,540","12,460","1,075,580","5,646,797"
23/02/2024,"12,540",,52,"652,080","12,540","12,540","12,540","1,075,580","5,646,797"
22/02/2024,"12,540",,109,"1,358,840","12,540","12,540","12,460","1,075,580","5,646,797"
21/02/2024,"12,540",,353,"4,415,880","12,540","12,540","12,500","1,075,580","5,646,797"
20/02/2024,"12,540",,509,"6,385,280","12,520","12,600","12,500","1,075,580","5,646,797"
19/02/2024,"12,520",,377,"4,732,900","12,540","12,580","12,520","1,073,865","5,637,791"
16/02/2024,"12,580",,425,"5,329,580","12,540","12,580","12,540","1,079,011","5,664,810"
15/02/2024,"12,600",,643,"8,110,020","12,620","12,640","12,460","1,080,727","5,673,816"
14/02/2024,"12,560",,286,"3,587,140","12,580","12,580","12,500","1,077,296","5,655,804"
13/02/2024,"12,560",,120,"1,503,480","12,560","12,580","12,520","1,077,296","5,655,804"
12/02/2024,"12,560",,164,"2,064,960","12,600","12,640","12,560","1,077,296","5,655,804"
09/02/2024,"12,520",,316,"3,956,500","12,540","12,540","12,480","1,073,865","5,637,791"
08/02/2024,"12,540",,346,"4,326,420","12,500","12,540","12,480","1,075,580","5,646,797"
07/02/2024,"12,500",,674,"8,422,860","12,580","12,580","12,440","1,072,150","5,628,785"
06/02/2024,"12,580",,246,"3,082,820","12,600","12,600","12,500","1,079,011","5,664,810"
05/02/2024,"12,580",,296,"3,706,800","12,500","12,600","12,500","1,079,011","5,664,810"
02/02/2024,"12,620",,131,"1,642,200","12,500","12,620","12,500","1,082,442","5,682,822"
01/02/2024,"12,500",,666,"8,329,020","12,580","12,580","12,500","1,072,150","5,628,785"
31/01/2024,"12,580",,200,"2,505,200","12,600","12,660","12,440","1,079,011","5,664,810"
30/01/2024,"12,600",,305,"3,819,140","12,520","12,600","12,500","1,080,727","5,673,816"
29/01/2024,"12,520",,259,"3,235,560","12,480","12,580","12,460","1,073,865","5,637,791"
26/01/2024,"12,500",,248,"3,083,580","12,420","12,620","12,420","1,072,150","5,628,785"
25/01/2024,"12,500",,576,"7,246,060","12,640","12,640","12,500","1,072,150","5,628,785"
24/01/2024,"12,500",,641,"8,025,020","12,540","12,540","12,500","1,072,150","5,628,785"
23/01/2024,"12,520",,219,"2,743,400","12,540","12,540","12,520","1,073,865","5,637,791"
22/01/2024,"12,520",,22,"275,940","12,540","12,540","12,520","1,073,865","5,637,791"
19/01/2024,"12,540",,214,"2,576,640","12,540","12,560","12,540","1,075,580","5,646,797"
18/01/2024,"12,500",,265,"3,311,700","12,500","12,500","12,440","1,072,150","5,628,785"
17/01/2024,"12,500",,173,"2,161,800","12,420","12,500","12,420","1,072,150","5,628,785"
16/01/2024,"12,420",,659,"8,254,000","12,580","12,600","12,420","1,065,288","5,592,761"
15/01/2024,"12,580",,497,"6,260,280","12,600","12,600","12,520","1,079,011","5,664,810"
12/01/2024,"12,620",,368,"4,636,020","12,580","12,620","12,520","1,082,442","5,682,822"
11/01/2024,"12,580",,94,"1,178,520","12,600","12,600","12,500","1,079,011","5,664,810"
