Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"2,350",,121,"285,330","2,380","2,380","2,310","176,121","176,121"
29/05/2024,"2,310",,"4,198","9,664,000","2,390","2,390","2,210","173,123","173,123"
28/05/2024,"2,400",,429,"988,380","2,290","2,500","2,280","179,868","179,868"
27/05/2024,"2,290",,162,"368,760","2,290","2,290","2,250","171,624","171,624"
24/05/2024,"2,230",,257,"569,610","2,180","2,260","2,110","167,127","167,127"
23/05/2024,"2,180",,30,"65,120","2,200","2,200","2,140","163,380","163,380"
21/05/2024,"2,180",,129,"277,480","2,180","2,180","2,140","163,380","163,380"
20/05/2024,"2,170",,"1,491","3,220,090","2,250","2,460","2,080","162,631","162,631"
17/05/2024,"2,250",,309,"688,100","2,200","2,250","2,200","168,626","168,626"
16/05/2024,"2,190",,"1,187","2,578,290","2,170","2,190","2,170","164,130","164,130"
15/05/2024,"2,170",,122,"263,740","2,170","2,170","2,160","162,631","162,631"
13/05/2024,"2,170",,200,"432,620","2,160","2,170","2,070","162,631","162,631"
10/05/2024,"2,170",,257,"553,530","2,170","2,170","2,030","162,631","162,631"
09/05/2024,"2,180",,121,"263,090","2,170","2,190","2,170","163,380","163,380"
08/05/2024,"2,170",,22,"47,610","2,190","2,190","2,160","162,631","162,631"
07/05/2024,"2,190",,11,"23,900","2,110","2,200","2,110","164,130","164,130"
06/05/2024,"2,200",,383,"836,030","2,170","2,200","2,170","164,879","164,879"
03/05/2024,"2,180",,"1,497","3,217,220","2,140","2,180","2,140","163,380","163,380"
02/05/2024,"2,150",,197,"421,200","2,130","2,160","2,130","161,132","161,132"
30/04/2024,"2,130",,"4,166","8,848,670","2,250","2,250","2,090","159,633","159,633"
29/04/2024,"2,260",,314,"698,180","2,220","2,260","2,210","169,376","169,376"
26/04/2024,"2,240",,"1,144","2,536,490","2,230","2,270","2,200","167,877","167,877"
25/04/2024,"2,400",,3,"7,200","2,400","2,400","2,400","179,868","179,868"
24/04/2024,"2,400",,385,"923,580","2,430","2,430","2,300","179,868","179,868"
23/04/2024,"2,440",,432,"1,034,250","2,400","2,460","2,380","182,866","182,866"
22/04/2024,"2,510",,5,"12,300","2,560","2,560","2,360","188,112","188,112"
19/04/2024,"2,360",,139,"321,060","2,370","2,370","2,300","176,870","176,870"
18/04/2024,"2,380",,48,"112,750","2,300","2,380","2,300","178,369","178,369"
17/04/2024,"2,460",,2,"4,750","2,290","2,460","2,290","184,365","184,365"
12/04/2024,"2,320",,0,0,-,"2,320","2,320","173,872","173,872"
11/04/2024,"2,320",,19,"44,620","2,370","2,370","2,320","173,872","173,872"
10/04/2024,"2,350",,426,"1,012,840","2,190","2,450","2,190","176,121","176,121"
09/04/2024,"2,360",,341,"802,150","2,350","2,390","2,340","176,870","176,870"
08/04/2024,"2,350",,163,"380,840","2,250","2,350","2,250","176,121","176,121"
05/04/2024,"2,350",,342,"802,120","2,350","2,350","2,340","176,121","176,121"
04/04/2024,"2,350",,40,"95,360","2,470","2,470","2,350","176,121","176,121"
03/04/2024,"2,410",,20,"48,350","2,470","2,470","2,410","180,617","180,617"
02/04/2024,"2,360",,10,"23,600","2,360","2,360","2,360","176,870","176,870"
01/04/2024,"2,420",,199,"484,830","2,390","2,460","2,340","181,367","181,367"
29/03/2024,"2,390",,"1,382","3,321,290","2,420","2,450","2,390","179,119","179,119"
28/03/2024,"2,450",,"1,213","2,992,180","2,490","2,490","2,450","183,615","183,615"
27/03/2024,"2,480",,407,"981,800","2,410","2,480","2,410","185,864","185,864"
26/03/2024,"2,490",,113,"281,770","2,490","2,500","2,440","186,613","186,613"
25/03/2024,"2,490",,686,"1,706,700","2,550","2,560","2,400","186,613","186,613"
22/03/2024,"2,560",,45,"115,950","2,590","2,590","2,560","191,859","191,859"
21/03/2024,"2,630",,7,"18,290","2,600","2,630","2,600","197,105","197,105"
20/03/2024,"2,510",,849,"2,058,440","2,360","2,520","2,360","188,112","188,112"
19/03/2024,"2,510",,559,"1,419,270","2,440","2,600","2,440","188,112","188,112"
18/03/2024,"2,610",,106,"275,730","2,580","2,620","2,530","195,606","195,606"
15/03/2024,"2,580",,"1,021","2,715,780","2,660","2,660","2,580","193,358","193,358"
14/03/2024,"2,660",,56,"148,220","2,540","2,660","2,540","199,354","199,354"
13/03/2024,"2,520",,385,"993,910","2,660","2,660","2,520","188,861","188,861"
12/03/2024,"2,630",,194,"511,270","2,640","2,640","2,630","197,105","197,105"
11/03/2024,"2,640",,13,"34,550","2,690","2,690","2,630","197,855","197,855"
07/03/2024,"2,700",,358,"958,150","2,650","2,700","2,650","202,352","202,352"
06/03/2024,"2,650",,182,"483,240","2,660","2,710","2,650","198,604","198,604"
05/03/2024,"2,720",,164,"425,700","2,770","2,770","2,440","203,850","203,850"
04/03/2024,"2,710",,186,"508,130","2,880","2,880","2,710","203,101","203,101"
01/03/2024,"2,750",,91,"250,930","2,780","2,780","2,750","206,099","206,099"
29/02/2024,"2,790",,94,"260,290","2,760","2,800","2,760","209,097","209,097"
28/02/2024,"2,800",,94,"260,180","2,820","2,820","2,740","209,846","209,846"
27/02/2024,"2,840",,377,"1,042,920","2,840","2,840","2,600","212,844","212,844"
26/02/2024,"2,790",,"1,005","2,748,590","2,720","2,800","2,720","209,097","209,097"
23/02/2024,"2,800",,122,"344,560","2,840","2,940","2,780","209,846","209,846"
22/02/2024,"2,840",,136,"380,410","3,000","3,000","2,770","212,844","212,844"
21/02/2024,"2,840",,7,"20,560","2,970","2,970","2,840","212,844","212,844"
20/02/2024,"2,850",,4,"11,740","3,090","3,090","2,850","213,593","213,593"
19/02/2024,"2,830",,105,"290,880","2,860","2,860","2,750","212,094","212,094"
16/02/2024,"2,860",,108,"311,870","2,850","2,900","2,850","214,343","214,343"
15/02/2024,"2,820",,37,"104,130","2,820","2,820","2,810","211,345","211,345"
14/02/2024,"2,830",,"1,027","2,814,210","2,680","2,850","2,680","212,094","212,094"
13/02/2024,"2,850",,33,"91,770","2,960","2,960","2,650","213,593","213,593"
12/02/2024,"2,840",,49,"138,360","2,980","2,980","2,800","212,844","212,844"
09/02/2024,"2,840",,19,"55,580","2,960","2,960","2,840","212,844","212,844"
08/02/2024,"2,800",,"1,056","2,957,660","2,840","2,840","2,800","209,846","209,846"
07/02/2024,"2,850",,193,"544,200","2,850","2,990","2,790","213,593","213,593"
06/02/2024,"2,850",,22,"62,210","2,870","2,870","2,810","213,593","213,593"
05/02/2024,"2,900",,1,"2,900","2,900","2,900","2,900","217,340","217,340"
02/02/2024,"2,860",,87,"248,230","2,990","2,990","2,750","214,343","214,343"
01/02/2024,"2,830",,32,"89,930","2,860","2,860","2,770","212,094","212,094"
31/01/2024,"2,800",,"1,571","4,476,970","2,950","2,950","2,800","209,846","209,846"
30/01/2024,"2,860",,891,"2,557,590","3,050","3,050","2,700","214,343","214,343"
29/01/2024,"2,870",,340,"975,100","3,070","3,070","2,700","215,092","215,092"
26/01/2024,"2,800",,"1,620","4,502,620","2,820","2,820","2,620","209,846","209,846"
25/01/2024,"2,850",,123,"354,380","2,850","3,000","2,790","213,593","213,593"
24/01/2024,"2,870",,11,"31,580","2,870","2,880","2,870","215,092","215,092"
23/01/2024,"2,900",,15,"43,650","3,060","3,060","2,890","217,340","217,340"
22/01/2024,"2,800",,150,"419,640","2,800","2,800","2,720","209,846","209,846"
19/01/2024,"2,800",,106,"296,410","2,670","2,800","2,670","209,846","209,846"
18/01/2024,"2,830",,459,"1,236,820","2,630","2,850","2,630","212,094","212,094"
17/01/2024,"2,800",,282,"785,550","2,540","2,800","2,540","209,846","209,846"
16/01/2024,"2,770",,"1,049","2,885,170","2,790","2,790","2,740","207,598","207,598"
15/01/2024,"2,800",,80,"225,330","2,900","2,900","2,560","209,846","209,846"
12/01/2024,"2,690",,55,"147,060","2,710","2,710","2,610","201,602","201,602"
11/01/2024,"2,710",,458,"1,126,310","2,410","2,710","2,410","203,101","203,101"
10/01/2024,"2,660",,58,"153,790","2,650","2,660","2,650","199,354","199,354"
09/01/2024,"2,680",,54,"143,530","2,690","2,690","2,650","200,853","200,853"
08/01/2024,"2,650",,91,"237,140","2,570","2,660","2,560","198,604","198,604"
05/01/2024,"2,560",,12,"32,320","2,710","2,710","2,560","191,859","191,859"
04/01/2024,"2,700",,54,"145,990","2,640","2,710","2,640","202,352","202,352"
03/01/2024,"2,640",,718,"1,896,580","2,690","2,690","2,640","197,855","197,855"
02/01/2024,"2,710",,253,"690,530","2,760","2,760","2,710","203,101","203,101"
29/12/2023,"2,740",,180,"490,710","2,690","2,740","2,690","205,349","205,349"
28/12/2023,"2,690",,46,"120,730","2,620","2,690","2,620","201,602","201,602"
27/12/2023,"2,620",,116,"304,010","2,630","2,630","2,620","196,356","196,356"
26/12/2023,"2,600",,52,"136,680","2,470","2,660","2,470","194,857","194,857"
25/12/2023,"2,540",,557,"1,414,440","2,520","2,650","2,520","190,360","190,360"
22/12/2023,"2,610",,112,"296,790","2,790","2,790","2,520","195,606","195,606"
21/12/2023,"2,660",,677,"1,741,740","2,650","2,660","2,550","199,354","199,354"
20/12/2023,"2,650",,940,"2,317,250","2,650","2,660","2,430","198,604","198,604"
19/12/2023,"2,670",,437,"1,175,030","2,660","2,700","2,650","200,103","200,103"
18/12/2023,"2,590",,59,"155,360","2,670","2,670","2,550","194,108","194,108"
15/12/2023,"2,580",,482,"1,223,670","2,670","2,670","2,510","193,358","193,358"
14/12/2023,"2,530",,95,"249,710","2,500","2,670","2,500","189,611","189,611"
13/12/2023,"2,530",,512,"1,297,120","2,500","2,570","2,500","189,611","189,611"
12/12/2023,"2,510",,93,"236,840","2,540","2,550","2,510","188,112","188,112"
11/12/2023,"2,550",,"1,935","4,971,930","2,580","2,600","2,520","191,110","191,110"
08/12/2023,"2,580",,85,"219,250","2,600","2,600","2,570","193,358","193,358"
07/12/2023,"2,600",,288,"766,780","2,830","2,830","2,600","194,857","194,857"
06/12/2023,"2,590",,162,"415,920","2,840","2,840","2,550","194,108","194,108"
05/12/2023,"2,610",,"1,242","3,228,510","2,880","2,880","2,540","195,606","195,606"
04/12/2023,"2,620",,394,"1,028,120","2,640","2,650","2,420","196,356","196,356"
01/12/2023,"2,510",,882,"2,189,200","2,540","2,540","2,420","188,112","188,112"
30/11/2023,"2,410",,120,"304,300","2,520","2,600","2,410","180,617","180,617"
29/11/2023,"2,580",,13,"31,960","2,430","2,630","2,430","193,358","193,358"
24/11/2023,"2,430",,438,"1,061,950","2,430","2,490","2,400","182,116","182,116"
