Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"13,400",,393,"5,258,660","13,380","13,400","13,200","277,170","1,533,677"
29/05/2024,"13,380",,463,"6,188,780","13,180","13,380","13,180","276,757","1,531,388"
28/05/2024,"13,400",,664,"8,860,900","13,340","13,400","13,240","277,170","1,533,677"
27/05/2024,"13,340",,509,"6,724,480","13,380","13,380","13,120","275,929","1,526,809"
24/05/2024,"13,420",,517,"6,849,480","13,400","13,420","13,240","277,584","1,535,966"
23/05/2024,"13,400",,616,"8,204,200","13,460","13,540","13,240","277,170","1,533,677"
21/05/2024,"13,460",,"1,910","25,630,860","13,360","13,480","13,260","278,412","1,540,544"
20/05/2024,"13,360",,258,"3,414,540","13,200","13,360","13,200","276,343","1,529,099"
17/05/2024,"13,400",,367,"4,899,940","13,360","13,480","13,240","277,170","1,533,677"
16/05/2024,"13,360",,71,"938,760","13,220","13,360","13,220","276,343","1,529,099"
15/05/2024,"13,280",,501,"6,596,940","13,320","13,340","13,080","274,688","1,519,942"
13/05/2024,"13,320",,158,"2,101,620","13,300","13,380","13,120","275,516","1,524,520"
10/05/2024,"13,180",,355,"4,682,600","13,200","13,220","13,100","272,620","1,508,497"
09/05/2024,"13,180",,"1,548","20,256,560","13,200","13,200","12,900","272,620","1,508,497"
08/05/2024,"13,180",,685,"8,998,580","13,220","13,220","12,720","272,620","1,508,497"
07/05/2024,"13,200",,"1,241","16,216,160","13,200","13,200","12,420","273,034","1,510,786"
06/05/2024,"13,180",,"1,424","18,411,320","13,500","13,500","12,380","272,620","1,508,497"
03/05/2024,"13,160",,541,"7,054,360","13,260","13,260","13,000","272,206","1,506,208"
02/05/2024,"13,000",,414,"5,379,100","13,060","13,080","12,980","268,897","1,487,895"
30/04/2024,"12,960",,327,"4,231,880","13,060","13,060","12,880","268,069","1,483,317"
29/04/2024,"12,760",,517,"6,613,360","12,980","12,980","12,620","263,932","1,460,426"
26/04/2024,"12,680",,"1,636","20,379,360","13,000","13,000","12,000","262,278","1,451,270"
25/04/2024,"12,900",,137,"1,746,960","12,780","13,000","12,680","266,828","1,476,450"
