Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"2,400",,"376,120","885,811,910","2,370","2,430","2,330","172,500","172,500"
29/05/2024,"2,330",,"79,341","182,938,440","2,300","2,330","2,270","167,469","167,469"
28/05/2024,"2,270",,"111,356","254,678,470","2,230","2,330","2,230","163,156","163,156"
27/05/2024,"2,230",,"10,311","22,945,950","2,220","2,230","2,220","160,281","160,281"
24/05/2024,"2,220",,"6,603","14,627,500","2,220","2,220","2,210","159,562","159,562"
23/05/2024,"2,220",,"6,952","15,339,560","2,200","2,220","2,190","159,562","159,562"
21/05/2024,"2,200",,"20,978","46,228,960","2,210","2,230","2,200","158,125","158,125"
20/05/2024,"2,230",,"48,450","107,717,100","2,230","2,280","2,200","160,281","160,281"
17/05/2024,"2,230",,"198,592","442,826,230","2,230","2,230","2,200","160,281","160,281"
16/05/2024,"2,030",,478,"967,220","2,030","2,030","2,020","145,906","145,906"
15/05/2024,"2,030",,563,"1,141,840","2,020","2,040","2,020","145,906","145,906"
13/05/2024,"2,030",,517,"1,046,460","2,020","2,030","2,020","145,906","145,906"
10/05/2024,"2,030",,"1,354","2,742,430","2,030","2,030","2,020","145,906","145,906"
09/05/2024,"2,030",,"44,992","90,070,750","2,060","2,060","1,990","145,906","145,906"
08/05/2024,"2,050",,"21,373","42,919,710","2,050","2,050","2,000","147,344","147,344"
07/05/2024,"2,050",,777,"1,589,460","2,050","2,050","2,020","147,344","147,344"
06/05/2024,"2,050",,"3,018","6,154,380","2,060","2,060","2,010","147,344","147,344"
03/05/2024,"2,050",,"3,949","8,070,550","2,060","2,060","2,030","147,344","147,344"
02/05/2024,"2,060",,"3,539","7,242,080","2,050","2,060","2,030","148,062","148,062"
30/04/2024,"2,050",,"57,908","116,452,030","2,040","2,060","2,000","147,344","147,344"
29/04/2024,"2,040",,"1,927","3,894,720","2,020","2,050","2,010","146,625","146,625"
26/04/2024,"2,040",,"3,292","6,640,450","2,070","2,070","2,000","146,625","146,625"
25/04/2024,"2,070",,"1,067","2,188,370","2,070","2,070","2,050","148,781","148,781"
24/04/2024,"2,070",,"7,544","15,449,490","2,070","2,070","2,020","148,781","148,781"
23/04/2024,"2,070",,"1,402","2,883,350","2,060","2,070","2,030","148,781","148,781"
22/04/2024,"2,060",,887,"1,797,410","2,070","2,070","2,020","148,062","148,062"
19/04/2024,"2,060",,"1,149","2,349,480","2,080","2,080","2,020","148,062","148,062"
18/04/2024,"2,070",,957,"1,972,570","2,040","2,080","2,020","148,781","148,781"
17/04/2024,"2,040",,"6,860","13,942,460","2,080","2,080","2,020","146,625","146,625"
12/04/2024,"2,080",,"9,313","19,102,840","2,060","2,080","2,050","149,500","149,500"
11/04/2024,"2,050",,"1,262","2,587,540","2,050","2,070","2,040","147,344","147,344"
10/04/2024,"2,050",,589,"1,207,990","2,060","2,060","2,040","147,344","147,344"
09/04/2024,"2,040",,"1,576","3,229,310","2,050","2,060","2,040","146,625","146,625"
08/04/2024,"2,050",,"3,389","6,944,520","2,050","2,070","2,010","147,344","147,344"
05/04/2024,"2,060",,"9,864","19,893,960","2,050","2,080","2,000","148,062","148,062"
04/04/2024,"2,080",,888,"1,842,950","2,080","2,080","2,060","149,500","149,500"
03/04/2024,"2,080",,"1,773","3,654,170","2,080","2,080","2,050","149,500","149,500"
02/04/2024,"2,080",,285,"590,480","2,080","2,080","2,060","149,500","149,500"
01/04/2024,"2,080",,997,"2,061,310","2,090","2,090","2,050","149,500","149,500"
