Date,Closing Price,Change,Trading Volume (shr),Trading Value (KHR),Opening,High,Low,Market Cap. (Mil.KHR),Full Market Cap. (Mil.KHR)
30/05/2024,"7,320",20,"5,521","40,444,260","7,340","7,360","7,320","636,644","3,499,502"
29/05/2024,"7,340",20,"9,496","69,716,440","7,360","7,360","7,340","638,383","3,509,064"
28/05/2024,"7,360",20,"11,257","82,751,340","7,380","7,380","7,320","640,122","3,518,625"
27/05/2024,"7,380",0,"14,282","104,828,220","7,400","7,400","7,300","641,862","3,528,187"
24/05/2024,"7,380",100,"12,478","91,669,260","7,300","7,440","7,300","641,862","3,528,187"
23/05/2024,"7,280",100,"1,600","11,641,140","7,200","7,280","7,200","633,165","3,480,379"
21/05/2024,"7,180",120,"12,195","87,687,880","7,260","7,280","7,180","624,467","3,432,572"
20/05/2024,"7,300",40,411,"2,981,060","7,220","7,300","7,220","634,904","3,489,941"
17/05/2024,"7,260",0,"13,518","98,323,140","7,220","7,380","7,220","631,425","3,470,818"
16/05/2024,"7,260",80,"6,083","44,048,420","7,200","7,260","7,200","631,425","3,470,818"
15/05/2024,"7,180",40,"6,136","43,907,480","7,140","7,180","7,120","624,467","3,432,572"
13/05/2024,"7,140",20,"9,063","64,481,920","7,120","7,140","7,100","620,988","3,413,449"
10/05/2024,"7,120",20,"5,520","39,213,600","7,100","7,140","7,100","619,249","3,403,888"
09/05/2024,"7,100",0,"1,500","10,632,620","7,100","7,100","7,060","617,509","3,394,326"
08/05/2024,"7,100",0,"1,452","10,306,240","7,100","7,100","7,060","617,509","3,394,326"
07/05/2024,"7,100",20,888,"6,253,340","7,140","7,140","7,020","617,509","3,394,326"
06/05/2024,"7,080",0,"6,580","46,133,680","7,020","7,100","7,000","615,770","3,384,765"
03/05/2024,"7,080",80,"11,479","80,493,160","7,100","7,100","7,000","615,770","3,384,765"
02/05/2024,"7,000",0,"10,289","72,218,240","7,100","7,100","6,960","608,812","3,346,519"
30/04/2024,"7,000",120,"10,055","70,557,740","7,120","7,120","7,000","608,812","3,346,519"
29/04/2024,"7,120",0,"2,352","16,538,900","7,100","7,120","7,000","619,249","3,403,888"
26/04/2024,"7,120",20,"3,419","24,081,000","7,120","7,120","7,000","619,249","3,403,888"
